municipality,cz,size
22461,286,10074
22462,292,3320
22481,286,7330
22482,286,9208
22483,286,8545
22484,286,11700
22485,286,5445
22486,286,727
22487,293,2964
22488,293,1870
22501,286,6572
22502,286,5393
22503,286,8194
22505,286,6498
22521,286,8725
22522,286,7071
22523,286,8185
23100,274,937279
23201,294,148672
23202,295,132319
23203,274,112611
23204,274,54087
23205,296,41896
23206,274,111756
23207,294,50225
23208,297,25139
23209,295,30893
23210,295,56048
23211,298,148252
23212,295,65449
23213,295,44179
23214,295,39257
23215,274,29563
23216,296,22743
23217,274,40231
23218,274,24954
23219,274,53948
23220,274,41351
23221,294,16163
23222,296,43604
23223,296,31255
23224,296,30992
23225,295,24324
23226,274,27428
23227,295,15437
23228,274,19495
23229,274,25652
23302,274,12480
23303,274,19870
23304,274,12843
23341,274,7541
23342,274,5894
23343,274,17190
23344,274,14778
23345,274,3209
23346,274,7801
23347,274,8070
23361,274,8000
23362,274,12553
23381,274,12560
23401,274,9667
23402,297,5595
23421,274,9601
23422,274,9875
23423,274,13376
23424,274,9809
23425,274,14757
23426,274,2469
23427,274,2145
23428,274,14473
23429,297,12281
23430,297,3767
23431,297,2274
23432,297,9524
23441,296,9749
23442,296,16762
23445,296,10674
23446,296,9361
23447,296,16477
23481,295,11006
23482,295,9810
23483,295,6275
23501,295,14151
23502,295,4383
23521,298,13602
23522,298,4744
23523,298,2113
23541,298,4692
23543,295,2114
23544,298,1841
23561,299,2899
23562,299,2062
23563,299,751
23564,300,86
23565,299,858
23566,271,1614
23581,294,6638
