municipality,cz,size
20307,215,584
20309,215,6040
20321,215,6111
20323,215,4391
20324,212,3971
20349,212,2366
20350,212,3711
20361,213,11487
20362,213,6710
20363,213,3118
20382,216,10455
20383,216,8861
20384,216,4918
20385,216,3728
20386,214,2585
20388,216,3341
20402,214,6089
20403,214,5291
20404,214,3220
20407,214,3717
20409,220,286
20410,221,868
20411,214,1960
20412,222,508
20413,214,1557
20414,214,1307
20415,214,3213
20416,214,3487
20417,223,1077
20422,224,3048
20423,225,2879
20425,224,1788
20429,224,990
20430,225,2281
20432,224,7552
20446,211,1820
20448,211,1457
20450,211,2550
20451,211,2140
20452,211,3408
20481,218,4615
20482,218,3453
20485,218,2978
20486,218,2285
20521,212,7357
20541,210,4953
20543,210,3293
20561,217,8725
20562,217,2848
20563,217,2218
20583,210,5348
20588,210,2438
20590,210,5787
20602,190,1554
21201,226,167674
21202,227,62554
21203,228,41166
21204,229,37699
21205,230,31548
21206,225,34579
21207,230,10977
21208,229,17116
21209,226,21719
21210,225,26064
21211,230,16026
21212,229,29299
21213,226,46821
21214,230,22154
21215,226,11640
21216,226,12165
21217,228,15540
21218,226,11947
21219,231,21317
21220,232,18345
21221,227,15102
21302,226,7247
21303,226,8655
21341,227,12209
21361,227,11018
21362,227,4541
21381,227,7925
21382,227,3142
21383,227,5586
21401,227,13396
21403,226,7563
21404,227,8372
21421,226,5002
21501,230,2479
21502,230,2337
21503,230,4213
21504,230,2620
21505,230,6781
21506,233,5062
21507,233,1533
21521,230,7152
21604,231,1022
22100,234,296150
22130,235,295807
22203,236,84885
22205,187,23503
22206,236,37638
22207,206,48255
22208,237,28289
22209,234,44310
22210,206,93824
22211,235,62212
22212,234,51537
22213,235,43114
22214,234,47855
22215,236,27163
22216,235,26171
22219,237,12726
22220,236,16873
22221,235,24787
22222,236,17211
22223,235,14275
22224,235,17604
22225,236,18705
22226,234,22384
22301,237,7139
22302,237,4071
22304,237,4877
22305,238,3919
22306,238,5842
22325,236,11025
22341,236,10394
22342,236,12885
22344,236,9835
22424,234,9590
22429,234,5150
22461,235,9653
23100,239,843311
23201,240,124538
23202,241,109722
23203,239,129053
23204,239,49845
23205,242,34808
23206,239,90386
23207,240,64770
23208,239,22396
23209,241,26438
23210,241,45969
23211,221,131151
23212,241,52485
23213,241,61930
23214,241,35531
23215,239,25115
23216,242,22022
23217,239,35369
23219,239,39611
23220,239,49671
23221,240,23714
23222,242,39322
23223,241,24810
23224,242,24421
23225,241,19947
23226,239,19938
23227,241,13594
23228,239,16609
23229,239,19977
23230,239,14558
23231,240,28545
23232,239,24096
23233,239,24306
23234,239,25591
23235,239,14527
23236,221,10334
23237,239,25770
23238,239,6717
23302,221,8122
23342,239,5131
23361,239,6775
23362,239,11185
23424,239,7290
23425,239,11917
23427,239,2081
23441,242,8199
23442,241,14280
23445,242,10311
23446,242,8288
23447,242,13183
23501,241,10788
23561,240,4151
23562,240,2717
23563,240,947
24201,243,105447
24202,243,104719
24203,244,54397
24204,244,61484
24205,243,43428
24207,243,62670
24208,245,16631
24209,246,11730
24210,243,16853
24211,247,11702
24212,248,9715
24214,243,16983
24215,247,25738
24216,245,40927
24303,249,2058
24324,243,5901
24341,243,11682
24343,243,2637
24344,243,4202
24441,244,6941
24442,244,8072
24443,244,5196
24461,244,5047
24470,244,3750
24471,244,5387
24472,247,9141
24543,246,9559
24561,248,4062
24562,250,4461
25201,251,88130
25202,252,34972
25203,252,46328
25204,251,26895
25206,251,29991
25207,251,18109
25208,251,14525
25209,251,32177
25210,251,14808
25211,251,12920
25212,253,21224
25213,252,40282
25214,252,16330
25383,251,9365
25384,251,4652
25425,252,6924
25441,252,2744
25442,252,3422
25443,252,3896
26100,254,556746
26201,255,34576
26202,202,39505
26203,255,19258
26204,254,55205
26205,256,12955
26206,254,25052
26207,254,26644
26208,254,19060
26209,254,26933
26210,257,22480
26211,254,13677
26212,256,34705
26213,254,15076
26214,258,13584
26303,254,6234
26322,254,6284
26343,254,3384
26344,254,2960
26364,258,968
26365,258,2460
26366,254,5546
26367,258,1515
26407,254,8202
26463,256,1996
26465,256,13355
27100,257,1064932
27140,259,301082
27202,259,65224
27203,257,152734
27204,257,38747
27205,257,122771
27206,259,25314
27207,257,122079
27208,259,30109
27209,257,62393
27210,257,127053
27211,257,89782
27212,257,98579
27213,259,33781
27214,260,33345
27215,257,95182
27216,259,26950
27217,257,47111
27218,257,42720
27219,259,44392
27220,257,36395
27221,257,24967
27222,257,36276
27223,257,53063
27224,257,31875
27225,259,24852
27226,257,22920
27227,257,194042
27228,259,18308
27229,257,18076
27230,257,21270
27231,259,15771
27232,259,14761
27301,257,9271
27321,257,4165
27322,261,3875
27341,259,6940
27361,259,8779
27362,259,2746
27366,259,8289
27381,260,3016
27382,260,4577
27383,260,2622
28100,262,508597
28201,263,181038
28202,261,205322
28203,262,92722
28204,261,153063
28205,264,22013
28206,261,30352
28207,261,65856
28208,263,14893
28209,265,40766
28210,262,75310
28212,263,19115
28213,266,18125
28214,261,65851
28215,262,28557
28216,262,31087
28217,261,44967
28218,262,16667
28219,267,13698
28220,262,20419
28221,267,17656
28222,265,14534
28223,255,30053
28224,264,24444
28225,265,15300
28226,264,21951
28227,263,18953
28228,262,13721
28229,263,30919
28301,261,4057
28365,266,10314
28381,262,9950
28382,262,9103
28442,263,5869
28443,263,6913
28446,263,5601
28464,263,9765
28481,263,7025
28501,263,9985
28585,265,11515
28586,265,8771
29201,258,109889
29202,268,21605
