i,cluster
23223,238
23224,239
23225,238
23226,236
23227,238
23228,236
23229,236
23230,236
23231,237
23232,236
23233,236
23234,236
23235,236
23236,218
23237,236
23238,236
23302,218
23342,236
23361,236
23362,236
23424,236
23425,236
23427,236
23441,239
23442,238
23445,239
23446,239
23447,239
23501,238
23561,237
23562,237
23563,237
24201,240
24202,240
24203,241
24204,241
24205,240
24207,240
24208,242
24209,243
24210,240
24211,244
24212,245
24214,240
24215,244
24216,242
24303,246
24324,240
24341,240
24343,240
24344,240
24441,241
24442,241
24443,241
24461,241
24470,241
24471,241
24472,244
24543,243
24561,245
24562,247
25201,248
25202,249
25203,249
25204,248
25206,248
25207,248
25208,248
25209,248
25210,248
25211,248
25212,250
25213,249
25214,249
25383,248
25384,248
25425,249
25441,249
25442,249
25443,249
26100,251
26201,252
26202,199
26203,252
26204,251
26205,253
26206,251
26207,251
26208,251
26209,251
26210,254
26211,251
26212,253
26213,251
26214,255
26303,251
26322,251
26343,251
26344,251
26364,255
26365,255
26366,251
26367,255
26407,251
26463,253
26465,253
27100,254
27140,256
27202,256
27203,254
27204,254
27205,254
27206,256
27207,254
27208,256
27209,254
27210,254
27211,254
27212,254
27213,256
27214,257
27215,254
27216,256
27217,254
27218,254
27219,256
27220,254
27221,254
27222,254
27223,254
27224,254
27225,256
27226,254
27227,254
27228,256
27229,254
27230,254
27231,256
27232,256
27301,254
27321,254
27322,258
27341,256
27361,256
27362,256
27366,256
27381,257
27382,257
27383,257
28100,259
28201,260
28202,258
28203,259
28204,258
28205,261
28206,258
28207,258
28208,260
28209,262
28210,259
28212,260
28213,263
28214,258
28215,259
28216,259
28217,258
28218,259
28219,264
28220,259
28221,264
28222,262
28223,252
28224,261
28225,262
28226,261
28227,260
28228,259
28229,260
28301,258
28365,263
28381,259
28382,259
28442,260
28443,260
28446,260
28464,260
28481,260
28501,260
28585,262
28586,262
29201,255
29202,265
29203,255
29204,255
29205,265
29206,266
29207,267
29208,265
29209,254
29210,254
29211,265
29212,266
29322,242
29342,254
29343,254
29344,255
29345,255
29361,255
29362,255
29363,255
29385,242
29386,242
29401,265
29402,265
29424,254
29425,254
29426,265
29427,254
29441,268
29442,268
29443,268
29444,268
29446,269
29447,267
29449,270
29450,245
29451,245
29452,268
29453,266
30201,271
30202,271
30203,272
30204,271
30205,273
30206,274
30207,247
30208,271
30209,271
30304,271
30341,272
30343,272
30344,272
30361,271
30362,271
30366,271
30381,273
30382,273
30383,273
30390,273
30391,274
30392,273
30401,274
30404,274
30406,274
30421,247
30422,247
30424,247
30427,245
30428,247
31201,275
31202,276
31203,277
31204,276
31302,275
31325,275
31328,275
31329,275
31364,277
31370,277
31371,277
31372,277
31384,276
31386,276
31389,276
31390,276
31401,276
31402,276
31403,276
32201,278
32202,279
32203,278
32204,280
32205,279
32206,278
32207,279
32209,278
32343,281
32386,282
32441,279
32448,279
32449,279
32501,280
32505,280
32525,283
32526,283
32527,284
32528,285
33100,286
33202,287
33203,288
33204,289
33205,287
33207,287
33208,287
33209,290
33210,291
33211,286
33212,286
33213,286
33214,292
33215,288
33216,287
33346,286
33423,287
33445,287
33461,287
33586,292
33606,288
33622,288
33623,288
33643,288
33663,286
33666,288
33681,290
34100,293
34202,293
34203,294
34204,294
34205,295
34207,287
34208,287
34209,296
34210,296
34211,297
34212,294
34213,293
34214,296
34215,293
34302,293
34304,293
34307,293
34309,293
34368,293
34369,293
34431,294
34462,294
34545,298
35201,299
35202,299
35203,299
35204,300
35206,299
35207,301
35208,297
35210,301
35211,300
35212,301
35213,299
35215,301
35216,299
35305,302
35321,297
35341,301
35343,301
35344,301
35502,300
36201,303
36202,303
36203,304
36204,304
36205,303
36206,303
36207,305
36208,305
36301,304
36302,304
36321,303
36341,303
36342,303
36368,304
36383,306
36387,306
36388,306
36401,303
36402,303
36403,303
36404,303
36405,303
36468,305
36489,305
37201,307
37202,307
37203,307
37204,307
37205,307
37206,307
37207,307
37208,307
37322,308
37324,308
37341,307
37364,289
37386,307
37387,307
37403,307
37404,307
37406,307
38201,309
38202,310
38203,311
38204,312
38205,310
38206,310
38207,313
38210,309
38213,310
38214,312
38215,309
38356,295
38386,314
38401,309
38402,309
38422,313
38442,312
38484,311
38488,311
38506,315
39201,316
39202,317
39203,317
39204,316
39205,316
39206,318
39208,319
39209,320
39210,319
39211,316
39212,316
39301,306
39302,317
39303,317
39304,317
39305,317
39306,321
39307,317
39341,322
39344,322
39363,322
39364,322
39386,316
39387,323
39401,318
39402,316
39403,316
39405,324
39410,316
39411,318
39412,325
39424,319
39427,319
39428,319
40100,326
40130,327
40202,328
40203,329
40204,330
40205,330
40206,331
40207,329
40210,329
40211,329
40212,329
40213,326
40214,332
40215,326
40216,329
