i,cluster
15208,183
15209,184
15210,187
15211,183
15212,186
15213,188
15215,183
15216,189
15217,190
15218,191
15219,192
15220,182
15221,182
15222,190
15301,182
15302,182
15303,182
15304,182
15306,186
15307,186
15308,186
15309,186
15310,186
15311,186
15321,182
15322,191
15323,182
15324,182
15341,188
15342,188
15343,188
15344,188
15345,188
15346,188
15347,182
15348,182
15349,188
15350,182
15351,188
15361,184
15362,184
15363,184
15364,183
15381,191
15382,191
15383,191
15384,191
15401,183
15402,183
15403,183
15404,188
15405,185
15406,188
15421,183
15441,183
15442,193
15443,193
15444,193
15445,193
15446,193
15447,193
15461,193
15462,193
15463,193
15464,193
15481,187
15482,187
15483,187
15501,185
15502,183
15504,185
15505,185
15521,190
15522,190
15523,194
15524,194
15525,190
15526,190
15541,190
15542,190
15543,190
15544,190
15545,190
15546,190
15547,190
15548,190
15549,190
15550,190
15561,189
15562,189
15563,189
15581,186
15582,186
15583,186
15584,186
15585,108
15586,195
15601,192
15602,192
15603,192
15604,192
15605,192
15606,192
15607,192
15608,192
15609,192
16201,196
16202,197
16203,197
16204,196
16205,197
16206,196
16207,196
16208,197
16209,197
16301,196
16302,196
16321,196
16322,196
16323,196
16341,196
16342,196
16343,196
16361,196
16362,196
16363,196
16364,196
16381,197
16382,197
16383,197
16384,197
16401,197
16402,198
16403,198
16404,199
16405,197
16406,197
16407,197
16408,197
16421,197
16422,197
17201,200
17202,201
17203,200
17204,202
17205,202
17206,203
17207,201
17208,200
17301,203
17321,200
17322,200
17323,200
17324,200
17342,200
17343,200
17344,200
17345,200
17346,200
17347,200
17348,200
17349,204
17361,200
17362,200
17363,200
17364,200
17365,200
17382,201
17383,201
17384,201
17385,201
17401,201
17402,201
17403,201
17404,201
17405,201
17406,201
17421,202
17422,202
17423,202
17424,202
17441,202
18201,205
18202,206
18203,207
18204,206
18205,204
18206,204
18207,207
18302,205
18321,205
18322,205
18323,204
18342,204
18361,205
18362,205
18363,205
18364,205
18365,205
18366,205
18381,207
18382,207
18401,207
18402,207
18403,207
18421,207
18422,207
18423,207
18424,205
18425,207
18426,205
18441,206
18442,206
18461,206
18462,206
18481,206
18482,206
19201,208
19202,209
19203,210
19204,209
19205,210
19206,209
19207,211
19301,210
19302,210
19303,210
19304,210
19305,210
19321,210
19322,210
19323,210
19324,210
19325,208
19326,208
19327,210
19328,208
19341,209
19342,208
19343,208
19344,208
19345,208
19361,208
19362,208
19363,212
19364,212
19365,212
19366,212
19367,212
19381,208
19382,208
19383,208
19384,208
19385,208
19386,208
19387,208
19388,208
19389,208
19390,208
19391,208
19401,208
19402,211
19403,211
19404,211
19405,211
19406,211
