year,cutoff,zone,municipalities,muni_names,resident_labour_force,mean_contained,labour_weighted_contained
1980,0.977,647,1,八丈支庁青ヶ島村,85,1,1
1980,0.977,648,1,小笠原支庁小笠原村,762,0.9986876640419947,0.9986876640419947
1980,0.977,649,7,両津市; 佐渡郡相川町; 佐渡郡佐和田町; 佐渡郡金井町; 佐渡郡新穂村; 佐渡郡畑野町; 佐渡郡真野町,33434,0.989383845589115,0.9904887240533589
1980,0.977,650,3,佐渡郡小木町; 佐渡郡羽茂町; 佐渡郡赤泊村,6611,0.9574491842102404,0.9581001361367418
1980,0.977,651,1,岩船郡粟島浦村,302,1,1
1980,0.977,652,1,鹿島郡能登島町,1842,0.8783930510314875,0.8783930510314875
1980,0.977,653,1,飾磨郡家島町,3156,0.988276299112801,0.988276299112801
1980,0.977,654,1,八束郡八束町,1973,0.7141409021794222,0.7141409021794222
1980,0.977,655,4,隠岐郡西郷町; 隠岐郡布施村; 隠岐郡五箇村; 隠岐郡都万村,8372,0.9962895869109163,0.9959388437649307
1980,0.977,656,1,隠岐郡海士町,1359,0.9602649006622517,0.9602649006622517
1980,0.977,657,1,隠岐郡西ノ島町,1776,0.9836711711711712,0.9836711711711712
1980,0.977,658,1,隠岐郡知夫村,383,0.9712793733681462,0.9712793733681462
1980,0.977,659,2,因島市; 豊田郡瀬戸田町,19115,0.9514627155007624,0.9510332199843056
1980,0.977,660,2,越智郡上浦町; 越智郡大三島町,4906,0.898369630180218,0.9044027721157766
1980,0.977,661,1,安芸郡下蒲刈町,1490,0.5228187919463088,0.5228187919463088
1980,0.977,662,1,安芸郡蒲刈町,1703,0.64063417498532,0.64063417498532
1980,0.977,663,1,佐伯郡宮島町,1474,0.7265943012211669,0.7265943012211669
1980,0.977,664,2,豊田郡豊浜町; 豊田郡豊町,4028,0.9266868831950952,0.9289970208540218
1980,0.977,665,3,豊田郡大崎町; 豊田郡東野町; 豊田郡木江町,5626,0.883819389658424,0.882332029861358
1980,0.977,666,1,沼隈郡内海町,1434,0.4839609483960948,0.4839609483960948
1980,0.977,667,3,小豆郡内海町; 小豆郡土庄町; 小豆郡池田町,17957,0.97276771283071,0.970540736203152
1980,0.977,668,1,香川郡直島町,2081,0.9207111965401249,0.9207111965401249
1980,0.977,669,2,越智郡吉海町; 越智郡宮窪町,4331,0.8926005556305492,0.8866312629877626
1980,0.977,670,1,越智郡伯方町,3430,0.9239067055393586,0.9239067055393586
1980,0.977,671,1,越智郡魚島村,183,1,1
1980,0.977,672,1,越智郡弓削町,1878,0.5638977635782748,0.5638977635782748
