municipality,cz,size
17206,162,39264
17207,163,12497
17209,162,16160
17210,162,43404
17211,162,18489
17212,162,15743
17324,162,2037
17361,162,11934
17365,162,10861
17384,163,13374
17386,163,7723
17407,163,9555
17461,164,5705
17463,164,12165
18201,165,122382
18202,166,30562
18204,166,14789
18205,165,20075
18206,165,14376
18207,165,29577
18208,165,15773
18209,165,40264
18210,165,40070
18322,165,9258
18382,165,2022
18404,165,6621
18423,165,11834
18442,166,6025
18481,166,5469
18483,166,5229
18501,166,8085
19201,167,86655
19202,168,23582
19204,168,13173
19205,167,16829
19206,168,13793
19207,167,13017
19208,167,28095
19209,167,21834
19210,167,25705
19211,167,27985
19212,137,11140
19213,167,16236
19214,167,11199
19346,167,9297
19364,169,922
19365,169,8949
19366,169,4972
19368,167,8198
19384,167,5899
19422,170,966
19423,168,1924
19424,168,3313
19425,168,2330
19429,168,1248
19430,168,9920
19442,171,543
19443,171,425
20201,172,168181
20202,173,103062
20203,174,71120
20204,175,27341
20205,176,50936
20206,175,24790
20207,172,24202
20208,177,20068
20209,178,33072
20210,178,15518
20211,172,22560
20212,173,16242
20213,172,13667
20214,175,24037
20215,173,28332
20217,177,42674
20218,174,27982
20219,174,13330
20220,173,38325
20303,177,2982
20304,179,2520
20305,179,1867
20306,177,688
20307,177,580
20309,177,6307
20321,177,7231
20323,177,5443
20324,174,4245
20349,174,2439
20350,174,3762
20361,175,11763
20362,175,7252
20363,175,3379
20382,178,10937
20383,178,10826
20384,178,5371
20385,178,4850
20386,178,2704
20388,178,3647
20402,178,6738
20403,176,5964
20404,176,3066
20407,176,3707
20409,180,250
20410,180,766
20411,176,1983
20412,176,398
20413,176,1195
20414,176,1151
20415,176,3312
20416,176,3606
20417,181,945
20422,182,2924
20423,183,2615
20425,182,2130
20429,182,571
20430,183,2200
20432,182,7162
20446,173,1800
20448,173,1316
20450,173,3169
20451,173,2205
20452,173,3256
20481,173,4823
20482,173,3924
20485,184,3760
20486,184,2229
20521,174,7939
20541,172,5533
20543,172,3568
20561,172,8663
20562,172,2785
20563,172,2090
20583,172,5579
20588,172,2056
20590,172,6377
20602,155,1471
21201,185,181547
21202,185,69775
21203,186,43727
21204,187,47003
21205,188,36880
21206,183,36819
21207,188,11158
21208,187,17719
21209,185,28211
21210,183,26271
21211,188,18687
21212,187,31129
21213,185,57552
21214,188,33924
21215,185,12665
21216,185,16462
21217,186,14714
21218,185,14375
21219,189,21208
21220,190,19042
21221,185,16775
21302,185,9267
21303,185,9383
21341,185,13473
21361,185,12015
21362,185,4253
21381,185,9055
21382,185,3477
21383,185,6768
21401,185,12520
21403,185,8960
21404,185,9417
21421,185,6676
21501,188,3559
21502,188,2521
21503,188,4622
21504,188,2497
21505,188,6388
21506,190,4893
21507,190,1506
21521,188,7779
21604,189,926
22100,191,329325
22130,192,341592
22203,193,97999
22205,152,22204
22206,193,45632
22207,169,55685
22208,194,31586
22209,191,48181
22210,169,108842
22211,192,73504
22212,191,61612
22213,192,49220
22214,191,59239
22215,193,35647
22216,192,32100
22219,194,13240
22220,193,22096
22221,192,29980
22222,193,18046
22223,192,17038
22224,192,20522
22225,193,22441
22226,191,24840
22301,194,7702
22302,194,3879
22304,194,4700
22305,195,3873
22306,195,5529
22325,193,15055
22341,193,12731
22342,193,15150
22344,193,10092
22424,191,12451
22429,191,5227
22461,192,10074
23100,196,937279
23201,197,148672
23202,198,136702
23203,196,150125
23204,196,54087
23205,199,41896
23206,196,111756
23207,197,76423
23208,196,25139
23209,198,30893
23210,198,56048
23211,198,165370
23212,198,65449
23213,198,71270
23214,198,39257
23215,196,29563
23216,199,22743
23217,196,40231
23219,196,53948
23220,196,56613
23221,197,24413
23222,199,43604
23223,199,31255
23224,199,30992
23225,198,24324
23226,196,27428
23227,198,15437
23228,196,19495
23229,198,25652
23230,196,19870
23231,197,32929
23232,196,27846
23233,196,26621
23234,196,31968
23235,196,16942
23236,198,13602
23237,196,32852
23238,196,12843
23302,198,12480
23342,196,5894
23361,196,8000
23362,196,12553
23424,196,9809
23425,196,14757
23427,196,2145
23441,199,9749
23442,199,16762
23445,199,10674
23446,199,9361
23447,199,16477
23501,198,14151
23561,197,3757
23562,197,2062
23563,197,837
24201,200,117525
24202,201,123845
24203,200,58431
24204,200,66589
24205,201,51825
24207,201,75715
24208,202,25790
24209,203,10602
24210,201,19400
24211,200,11584
24212,204,8570
24214,201,19459
24215,200,27843
24216,202,42763
24303,196,3141
24324,201,9677
24341,201,13699
24343,201,2911
24344,201,4442
24441,200,6849
24442,200,9152
24443,200,4957
24461,200,5603
24470,200,4012
24471,200,5086
24472,200,8805
24543,203,9058
24561,204,3802
24562,204,4715
25201,205,110221
25202,206,40249
25203,206,50465
25204,205,31049
25206,205,39644
25207,205,24344
25208,205,19119
25209,205,36217
25210,205,18274
25211,205,19499
25212,207,21787
25213,206,45255
25214,206,16589
25383,205,9525
25384,205,5912
25425,206,7206
25441,206,2827
25442,206,3488
25443,206,3782
26100,208,586468
26201,209,35346
26202,166,38319
26203,209,18240
26204,208,68615
26205,210,11660
26206,208,31904
26207,208,32460
26208,208,22044
26209,208,31848
26210,211,28510
26211,208,17668
26212,210,33209
26213,208,14519
26214,212,18616
26303,208,6653
26322,208,7930
26343,208,3496
26344,208,3463
26364,212,905
26365,212,2413
26366,212,6606
26367,212,1654
26407,208,7879
26463,210,1625
26465,210,12992
27100,211,1127920
27140,213,333731
27202,213,74086
27203,211,169974
27204,211,42570
27205,211,138709
27206,213,26810
27207,211,143451
27208,213,31822
27209,211,67354
27210,211,151544
27211,211,103878
27212,214,112688
27213,213,35904
27214,215,41213
27215,211,108175
27216,215,39923
27217,215,53920
27218,211,51851
27219,213,55537
27220,211,46372
27221,214,30563
27222,215,44739
27223,211,62388
27224,211,37385
27225,213,25660
27226,215,26226
27227,211,218270
27228,213,21736
27229,211,20607
27230,211,25325
27231,213,20281
27232,213,19455
27301,211,11647
27321,211,8018
27322,211,4132
27341,213,7109
27361,213,14056
27362,213,2707
27366,213,7985
27381,215,4023
27382,215,5139
27383,215,2897
28100,216,571905
28201,217,198316
28202,211,211160
28203,216,105537
28204,211,172133
28205,218,22524
28206,211,34488
28207,211,76506
28208,217,13619
28209,219,40856
28210,216,91084
28212,217,19434
28213,216,19876
28214,211,77291
28215,216,32526
28216,216,35736
28217,211,54037
28218,216,19016
28219,220,23899
28220,216,21661
28221,220,18058
28222,219,13334
28223,220,30989
28224,218,25686
28225,219,15122
28226,218,21615
28227,217,19260
28228,216,15557
28229,217,32388
28301,211,7366
28365,216,11096
28381,216,11819
28382,216,11804
28442,217,5981
28443,217,7444
28446,217,6009
28464,217,12243
28481,217,7256
28501,217,9642
28585,219,11023
28586,219,8342
29201,212,135214
29202,221,26147
29203,212,35993
29204,212,26678
29205,221,43677
29206,222,23018
29207,223,15516
29208,221,13366
29209,211,37053
29210,214,19250
29211,221,12653
29212,222,15934
29322,202,2539
29342,224,7475
29343,214,8167
29344,212,10397
29345,212,3255
29361,212,3639
29362,212,3394
29363,212,12025
29385,202,1064
29386,202,1171
29401,221,3223
29402,221,2713
29424,214,7299
29425,214,8821
29426,221,9136
29427,214,6847
29441,221,5121
29442,221,6587
29443,221,3928
29444,221,534
29446,225,817
29447,226,361
29449,227,1889
29450,228,537
29451,228,386
29452,221,1179
29453,222,1339
30201,229,153573
30202,229,25345
30203,223,23615
30204,229,13581
30205,230,10842
30206,231,33184
30207,204,13560
30208,229,26468
30209,229,12197
30304,229,5471
30341,223,9518
30343,223,2763
30344,223,2376
30361,229,5923
30362,229,3514
30366,229,12253
30381,230,3179
30382,230,2680
30383,230,3154
30390,230,4248
30391,231,6157
30392,230,4645
30401,231,10058
30404,231,5029
30406,231,2190
