municipality,cz,size
12222,92,44245
12223,99,14415
12224,92,39077
12225,99,35842
12226,99,19047
12227,92,62345
12228,98,30356
12229,99,23493
12230,98,29511
12231,92,33018
12232,92,22742
12233,98,20727
12234,99,16825
12235,98,15084
12236,98,32967
12237,98,21610
12238,100,14718
12322,98,7828
12329,98,8712
12342,98,2375
12347,98,6942
12349,84,6102
12402,98,17619
12403,98,6714
12409,98,3317
12410,98,9373
12421,100,4557
12422,100,2791
12423,100,5490
12424,100,4661
12426,100,2879
12427,100,3392
12441,100,3950
12443,100,2499
12463,99,3388
13101,92,17601
13102,92,50849
13103,92,64092
13104,92,93155
13105,92,69038
13106,92,59052
13107,92,89683
13108,92,179402
13109,92,132903
13110,92,82524
13111,92,249318
13112,92,265766
13113,92,63788
13114,92,102603
13115,92,174510
13116,92,81142
13117,92,111645
13118,92,68065
13119,92,173681
13120,92,218806
13121,92,212304
13122,92,142532
13123,92,218073
13201,101,182249
13202,102,57054
13203,101,47651
13204,101,58966
13205,102,47580
13206,101,90951
13207,102,42210
13208,101,75277
13209,103,133223
13210,101,38718
13211,104,58452
13212,101,59940
13213,104,48814
13214,104,40662
13215,101,23878
13218,102,20842
13219,101,26262
13220,104,29100
13221,104,24565
13222,104,39457
13223,102,23781
13224,101,47095
13225,101,28852
13227,102,21394
13228,102,26237
13229,104,62957
13303,102,12412
13305,102,5643
13307,102,881
13308,102,2012
13361,105,3464
13362,106,210
13363,107,1220
13364,108,814
13381,109,1237
13382,110,202
13401,111,3422
13402,112,125
13421,113,1275
14100,92,1325666
14130,92,498150
14150,103,251531
14201,114,134189
14203,115,100649
14204,103,56600
14205,103,145299
14206,115,76589
14207,103,82488
14208,114,19627
14210,114,17864
14211,115,60101
14212,103,84174
14213,103,79181
14214,103,39389
14215,103,47363
14216,103,45347
14217,115,16725
14218,103,30336
14301,114,11194
14321,103,18067
14341,115,11840
14342,115,10368
14361,115,3975
14362,115,7135
14363,115,4439
14364,115,4633
14366,115,6376
14382,115,7296
14383,115,3167
14384,115,9826
14401,103,16802
14402,103,1325
15100,116,321938
15202,117,119497
15204,116,44237
15205,117,38186
15206,116,41483
15208,117,16941
15209,116,12618
15210,118,25648
15211,117,17846
15212,72,26956
15213,116,36501
15216,119,19952
15217,119,14454
15218,116,23140
15222,119,84425
15223,116,19306
15224,120,26791
15225,121,17230
15226,121,26683
15227,72,13276
15307,116,5812
15342,116,3799
15361,116,5287
15385,116,4697
15405,117,1968
15461,121,3493
15482,118,4787
15504,117,2191
15581,72,2731
15586,122,196
16201,123,175368
16202,124,72609
16204,123,19513
16205,124,21549
16206,123,14612
16207,123,18824
16208,124,22331
16209,124,13979
16210,124,24187
16211,124,39185
16321,123,1281
16322,123,9672
16323,123,12221
16342,123,11989
16343,123,5619
17201,125,180259
17202,126,24737
17203,125,46173
17204,127,11238
17205,127,6342
17206,125,31121
17207,126,9313
17209,125,14714
17210,125,48034
17211,125,20884
17324,125,2588
17344,125,21036
17361,125,15820
17365,125,11035
17384,126,9193
17386,126,5728
17407,126,7761
17461,127,3648
17463,127,7588
18201,128,110633
18202,129,28507
18204,129,13090
18205,128,15638
18206,128,11073
18207,128,29024
18208,128,13444
18209,128,36483
18210,128,40906
18322,128,8573
18382,128,1169
18404,128,4977
18423,128,10091
18442,129,4600
18481,129,4719
18483,129,3573
18501,129,6854
19201,130,72997
19202,131,20838
19204,131,12082
19205,130,15173
19206,131,10254
19207,130,12793
19208,130,30086
19209,130,19333
19210,130,30049
19211,130,28420
19212,131,9876
19213,130,14651
19214,130,12546
19346,130,6723
19364,130,426
19365,130,5301
19366,132,3394
19368,130,6265
19384,130,7393
19422,131,837
19423,131,1883
19424,131,3745
19425,131,2237
19429,131,1298
19430,131,10348
19442,133,304
19443,133,214
20201,134,156020
20202,135,99018
20203,136,63224
20204,137,21274
20205,138,45272
20206,137,21283
20207,134,21649
20208,139,16957
20209,140,29773
20210,140,14343
20211,134,21006
20212,135,12293
20213,134,10317
20214,137,23109
20215,135,29752
20217,139,40593
20218,136,25108
20219,136,12966
20220,135,39553
20303,139,2163
20304,141,3025
20305,139,1902
20306,139,410
20307,139,328
20309,139,5057
20321,139,7118
20323,139,6194
20324,136,3561
20349,136,1759
20350,136,2591
20361,137,8586
20362,137,6548
20363,137,3481
20382,140,8408
20383,140,11063
20384,140,4596
20385,140,6178
20386,140,2364
20388,140,3826
20402,138,6131
20403,138,5913
20404,138,2049
20407,138,3003
20409,138,191
20410,138,443
20411,138,1819
20412,138,261
20413,138,559
20414,138,739
20415,138,2899
20416,138,3128
20417,138,416
20422,142,2057
20423,142,1936
20425,142,1276
20429,142,379
20430,142,1581
20432,142,5366
20446,135,1205
20448,135,766
20450,135,3803
20451,135,2128
20452,135,2218
20481,135,4157
20482,135,4231
20485,143,3829
20486,143,1425
20521,136,6435
20541,134,5185
20543,134,3516
20561,134,6306
20562,134,2093
20563,134,1617
20583,134,3862
20588,134,1186
20590,134,5598
20602,118,902
21201,144,156776
21202,144,61761
21203,145,41258
21204,146,44465
21205,146,36931
21206,142,31543
21207,146,9355
21208,146,15705
21209,144,25723
21210,142,21830
21211,146,22118
21212,146,24537
21213,144,54694
21214,146,37168
21215,144,11623
21216,144,20334
21217,145,11157
21218,144,13683
21219,147,17697
21220,148,14681
21221,144,15855
21302,144,9849
21303,144,8527
21341,144,12691
21361,144,11249
21362,144,3278
21381,144,7978
21382,144,4185
21383,144,6273
21401,144,9091
21403,144,9399
21404,144,9982
21421,144,7530
21501,146,3535
21502,146,2429
21503,146,4228
21504,146,1575
21505,146,3950
21506,148,3608
21507,148,1044
21521,146,7552
21604,145,878
22100,149,287629
22130,150,327424
22203,151,82965
22205,115,14503
22206,151,44864
22207,132,54144
22208,152,25872
22209,149,43474
22210,132,104046
22211,150,72317
22212,149,60442
22213,150,51887
22214,149,59654
22215,151,38617
22216,150,37021
22219,152,9691
22220,151,23605
22221,150,26391
22222,151,14078
22223,150,15990
22224,150,21723
22225,151,20311
22226,149,23145
22301,152,5731
22302,152,3201
22304,152,3457
22305,152,2789
22306,152,3529
22325,151,15489
22341,151,13338
22342,151,17335
22344,151,8250
22424,149,13536
22429,149,3315
22461,150,8591
23100,153,811630
23201,154,148528
23202,155,148635
23203,153,137872
23204,153,47217
23205,156,46326
23206,153,112618
23207,154,73983
23208,153,23956
23209,155,31188
23210,155,61069
23211,155,170877
23212,155,71189
23213,155,46010
23214,155,33318
23215,153,27667
23216,156,21662
23217,153,36467
23219,153,56222
23220,153,52800
23221,154,21019
23222,156,44412
23223,156,34960
23224,156,32908
23225,155,26801
23226,153,29178
23227,155,17807
23228,153,18584
23229,155,25688
23230,153,30173
23231,154,32073
23232,153,25609
23233,153,25195
23234,153,31682
23235,153,16398
23236,155,21702
23237,153,32031
23302,155,15934
23304,153,19075
23342,153,5846
23361,153,8791
23362,153,12861
23424,153,11249
23425,153,14159
23427,153,2044
23441,156,9747
23442,156,18868
23445,156,8542
23446,156,9254
23447,156,16849
23481,155,10023
23482,155,9404
23483,155,5259
23501,155,15389
23561,154,2255
23562,154,1254
23563,154,481
24201,157,108277
24202,157,118324
24203,158,50341
24204,158,65761
24205,157,54756
24207,157,74255
24208,159,30227
24209,160,7208
