i,cluster
25212,166
25213,165
25214,165
25383,165
25384,165
25425,165
25441,165
25442,165
25443,165
26100,167
26201,168
26202,130
26203,168
26204,167
26205,169
26206,167
26207,167
26208,167
26209,167
26210,170
26211,167
26212,169
26213,167
26214,171
26303,167
26322,167
26343,167
26344,167
26364,171
26365,171
26366,171
26367,162
26407,167
26463,169
26465,169
27100,170
27140,172
27202,172
27203,170
27204,170
27205,170
27206,172
27207,170
27208,172
27209,170
27210,170
27211,170
27212,173
27213,172
27214,173
27215,170
27216,173
27217,173
27218,170
27219,172
27220,170
27221,173
27222,173
27223,170
27224,170
27225,172
27226,173
27227,170
27228,172
27229,170
27230,170
27231,172
27232,172
27301,170
27321,170
27322,170
27341,172
27361,172
27362,172
27366,172
27381,173
27382,173
27383,173
28100,174
28201,175
28202,170
28203,174
28204,170
28205,176
28206,170
28207,170
28208,175
28209,177
28210,174
28212,175
28213,174
28214,170
28215,174
28216,174
28217,170
28218,174
28219,178
28220,174
28221,178
28222,177
28223,178
28224,176
28225,177
28226,176
28227,175
28228,174
28229,175
28301,170
28365,174
28381,174
28382,174
28442,175
28443,175
28446,175
28464,175
28481,175
28501,175
28585,177
28586,177
29201,179
29202,180
29203,179
29204,179
29205,180
29206,162
29207,180
29208,180
29209,179
29210,179
29211,180
29212,162
29322,162
29342,179
29343,179
29344,179
29345,179
29361,179
29362,179
29363,179
29385,162
29386,162
29401,180
29402,180
29424,179
29425,179
29426,179
29427,179
29441,180
29442,180
29443,180
29444,180
29446,180
29447,181
29449,182
29450,164
29451,164
29452,180
29453,162
30201,183
30202,183
30203,181
30204,183
30205,184
30206,185
30207,164
30208,183
30209,183
30304,183
30341,181
30343,181
30344,181
30361,183
30362,183
30366,183
30381,184
30382,184
30383,184
30390,184
30391,185
30392,184
30401,185
30404,185
30406,185
30421,164
30422,164
30424,164
30427,164
30428,164
31201,186
31202,187
31203,188
31204,187
31302,186
31325,186
31328,186
31329,186
31364,188
31370,188
31371,188
31372,188
31384,187
31386,187
31389,187
31390,187
31401,187
31402,187
31403,187
32201,189
32202,190
32203,189
32204,191
32205,190
32206,189
32207,190
32209,189
32343,189
32386,189
32441,190
32448,190
32449,190
32501,191
32505,191
32525,192
32526,192
32527,192
32528,193
33100,194
33202,194
33203,195
33204,194
33205,194
33207,194
33208,194
33209,196
33210,196
33211,194
33212,194
33213,194
33214,197
33215,195
33216,194
33346,194
33423,194
33445,194
33461,194
33586,197
33606,195
33622,195
33623,195
33643,195
33663,195
33666,195
33681,196
34100,198
34202,198
34203,199
34204,199
34205,200
34207,200
34208,200
34209,201
34210,201
34211,202
34212,199
34213,198
34214,198
34215,198
34302,198
34304,198
34307,198
34309,198
34368,198
34369,198
34431,199
34462,199
34545,200
35201,203
35202,203
35203,203
35204,204
35206,203
35207,202
35208,202
35210,202
35211,204
35212,202
35213,203
35215,202
35216,203
35305,202
35321,202
35341,202
35343,202
35344,202
35502,204
36201,205
36202,205
36203,205
36204,205
36205,206
36206,206
36207,206
36208,206
36301,205
36302,205
36321,205
36341,205
36342,205
36368,205
36383,207
36387,205
36388,207
36401,205
36402,205
36403,205
36404,205
36405,205
36468,206
36489,206
37201,208
37202,208
37203,208
37204,208
37205,208
37206,208
37207,208
37208,208
37322,209
37324,209
37341,208
37364,194
37386,208
37387,208
37403,208
37404,208
37406,208
38201,210
38202,211
38203,212
38204,213
38205,211
38206,211
38207,213
38210,210
38213,211
38214,213
38215,210
38356,200
38386,210
38401,210
38402,210
38422,213
38442,213
38484,212
38488,212
