i,cluster
17342,273
17343,273
17344,273
17345,273
17346,273
17347,273
17348,273
17349,278
17361,273
17362,273
17363,273
17364,273
17365,273
17382,279
17383,277
17384,279
17385,277
17401,274
17402,274
17403,274
17404,274
17405,274
17406,274
17421,280
17422,280
17423,276
17424,276
17441,276
18201,281
18202,282
18203,283
18204,284
18205,278
18206,278
18207,283
18302,281
18321,281
18322,281
18323,281
18342,278
18361,281
18362,281
18363,281
18364,281
18365,281
18366,281
18381,283
18382,285
18401,283
18402,283
18403,283
18421,283
18422,283
18423,283
18424,281
18425,283
18426,281
18441,282
18442,282
18461,284
18462,284
18481,284
18482,284
19201,286
19202,287
19203,288
19204,287
19205,288
19206,288
19207,289
19301,290
19302,288
19303,288
19304,288
19305,288
19321,290
19322,290
19323,290
19324,290
19325,291
19326,291
19327,290
19328,292
19341,293
19342,286
19343,286
19344,286
19345,286
19361,286
19362,286
19363,294
19364,294
19365,294
19366,295
19367,295
19381,286
19382,286
19383,286
19384,286
19385,286
19386,286
19387,286
19388,286
19389,286
19390,286
19391,286
19401,286
19402,289
19403,289
19404,289
19405,289
19406,289
19407,289
19408,289
19409,289
19421,230
19422,296
19423,287
19424,287
19425,287
19426,287
19427,287
19428,287
19429,287
19441,230
19442,297
19443,298
20201,299
20202,300
20203,301
20204,302
20205,303
20206,302
20207,299
20208,304
20209,305
20210,305
20211,306
20212,307
20213,306
20214,302
20215,308
20216,309
20217,304
20301,304
20302,304
20303,304
20304,310
20305,310
20306,304
20307,304
20308,304
20321,304
20322,304
20323,304
20324,301
20325,304
20326,301
20341,301
20342,301
20343,301
20345,301
20346,301
20347,301
20349,301
20361,302
20362,302
20363,302
20381,305
20382,305
20383,305
20384,305
20385,305
20386,305
20387,305
20388,305
20401,303
20402,305
20403,303
20404,311
20405,303
20406,303
20407,303
20408,303
20409,312
20410,313
20411,303
20412,311
20413,314
20414,311
20415,303
20416,303
20417,315
20418,316
20419,316
20421,317
20422,317
20423,317
20424,308
20425,317
20426,317
20427,317
20428,317
20429,317
20430,317
20431,318
20441,300
20443,300
20444,300
20445,300
20446,300
20447,300
20448,300
20449,300
20450,300
20451,308
20461,300
20462,300
20463,300
20464,300
20465,300
20466,300
20467,300
20481,307
20482,307
20483,307
20484,307
20485,307
20486,307
20501,309
20502,319
20521,309
20522,309
20541,299
20543,299
20561,306
20562,306
20563,306
20581,319
20582,299
20583,299
20584,299
20585,299
20586,299
20587,299
20588,299
20589,299
20601,306
20602,253
21201,320
21202,321
21203,322
21204,323
21205,324
21206,318
21207,324
21208,323
21209,325
21210,318
21211,326
21212,323
21213,320
21301,327
21302,320
21303,320
21304,320
21321,325
21322,325
21323,325
21341,321
21342,321
21361,321
21362,321
21381,321
21382,321
21383,321
21384,321
21401,328
21402,328
21403,328
21404,321
21405,328
21406,328
21407,328
21408,328
21409,329
21421,320
21422,320
21423,320
21424,320
21425,320
21426,320
21427,330
21441,320
21442,320
21443,331
21461,331
21462,331
21463,324
21464,324
21465,324
21481,332
21482,332
21483,332
21484,332
21485,332
21486,332
21487,333
21501,326
21502,324
21503,326
21504,326
21505,326
21506,334
21507,334
21521,326
21522,326
21523,326
21541,323
21561,318
21562,318
21563,335
21564,318
21565,318
21566,318
21567,318
21568,323
21569,323
21570,323
21571,323
21581,336
21582,336
21583,336
21584,333
21585,336
21601,322
21602,322
21603,332
21604,271
21605,322
21606,322
21607,322
21608,337
21621,322
21622,322
21623,322
21624,322
21625,338
21626,338
22201,339
22202,340
22203,341
22204,339
22205,247
22206,341
22207,295
22208,342
22209,343
22210,295
22211,340
22212,339
22213,344
22214,339
22215,345
22216,340
22217,340
22218,340
22219,342
22220,341
22221,340
22301,342
22302,342
22304,342
22305,346
22306,346
22307,346
22321,341
22322,341
22323,347
22324,346
22325,341
22326,341
22327,341
22328,341
22329,341
22341,341
22342,341
22344,345
22361,295
22381,295
22382,295
22383,339
22401,339
22402,339
22421,348
22422,348
22423,348
22424,348
22425,343
22426,343
22427,343
22428,343
22442,344
22444,344
22445,344
22446,344
22447,344
22461,340
22462,349
22481,340
22482,340
22483,340
22484,340
22485,340
22486,340
22487,314
22488,314
22501,340
22502,340
22503,340
22505,340
22521,340
22522,340
22523,350
23100,351
23201,352
23202,353
23203,327
23204,351
23205,354
23206,351
23207,352
23208,355
23209,356
23210,356
23211,357
23212,356
23213,353
23214,353
23215,351
23216,354
23217,351
23218,327
23219,351
23220,327
23221,352
23222,354
23223,356
23224,354
23225,356
23226,351
23227,356
23228,351
23229,351
23302,351
23303,351
23304,351
23341,351
23342,351
23343,351
23344,351
